Food,Fat (gms.),Cholesterol (mgs.),Calories (Kcals.),Protein (gms.),Hindi/Common Name (Hinglish),Cholesterol Flag
Tea (1 cup with 2tsp cream & 2tsp sugar),2.9,10,70,1,Chai (cream aur chini ke saath),Good
Coffee (1 cup with 2tsp cream & 2tsp sugar),2.9,10,70,1,Coffee (cream aur chini ke saath),Good
Masala Chai (1 cup),1.5,5,45,1.2,Masala Chai,Good
Green Tea (1 cup),0,0,2,0,Green Tea,Good
Lassi Sweet (1 glass),4,15,130,3,Meethi Lassi,Good
Buttermilk (1 glass),0.5,3,60,3,Chaas,Good
Coconut Water (1 glass),0.5,0,45,1.8,Nariyal Pani,Good
Sugarcane Juice (1 glass),0.2,0,180,0.2,Ganne ka Ras,Good
Nimbu Paani (1 glass),0,0,40,0,Nimbu Paani,Good
Aam Panna (1 glass),0.2,0,80,0.5,Aam Panna,Good
Idli (2 pieces),0.5,0,120,3.2,Idli,Good
Dosa Plain (1 medium),2,0,150,3,Dosa,Good
Masala Dosa (1 medium),8,0,280,5,Masala Dosa,Good
Upma (1 bowl),4,0,200,6.5,Upma,Good
Poha (1 bowl),2,0,180,3.5,Poha,Good
Paratha Plain (1 medium),8,0,250,4.5,Paratha,Good
Aloo Paratha (1 medium),12,0,320,6,Aloo Paratha,Good
Paneer Paratha (1 medium),15,25,350,12,Paneer Paratha,Good
Methi Paratha (1 medium),10,0,280,7,Methi Paratha,Good
Thepla (1 piece),5,0,180,4,Thepla,Good
Dhokla (4 pieces),3,0,150,5,Dhokla,Good
Khandvi (4 pieces),2,5,120,4,Khandvi,Good
Besan Chilla (1 medium),6,0,180,8,Besan Chilla,Good
Oats Upma (1 bowl),4,0,170,6,Oats Upma,Good
Ragi Dosa (1 medium),2.5,0,140,4,Ragi Dosa,Good
Rice White Cooked (1 cup),0.3,0,200,4,Chawal,Good
Rice Brown Cooked (1 cup),1.8,0,220,5,Brown Rice,Good
Biryani Vegetable (1 plate),12,0,400,8,Veg Biryani,Good
Biryani Chicken (1 plate),18,45,500,20,Chicken Biryani,High
Biryani Mutton (1 plate),25,60,550,25,Mutton Biryani,High
Khichdi Plain (1 bowl),2,0,180,6,Khichdi,Good
Khichdi with Ghee (1 bowl),8,20,250,6,Ghee wali Khichdi,Good
Dal Khichdi (1 bowl),4,0,320,12,Dal Khichdi,Good
Pulao Vegetable (1 plate),8,0,320,6,Veg Pulao,Good
Jeera Rice (1 cup),5,0,250,4.5,Jeera Rice,Good
Dal Tadka (1 bowl),3,0,170,8,Dal Tadka,Good
Dal Fry (1 bowl),5,0,190,9,Dal Fry,Good
